1981	11	8	-0.143112
1981	11	15	-0.311886
1981	11	22	-0.403949
1981	11	29	-0.304858
1981	12	6	0.119933
1981	12	13	0.182778
1981	12	20	-0.442663
1981	12	27	-0.623094
1982	1	3	-0.405891
1982	1	10	0.186542
1982	1	17	0.321506
1982	1	24	0.367802
1982	1	31	0.189609
1982	2	7	-0.00280265
1982	2	14	0.486444
1982	2	21	-0.0595996
1982	2	28	0.178323
1982	3	7	0.425717
1982	3	14	0.115203
1982	3	21	0.56623
1982	3	28	0.419397
1982	4	4	0.157189
1982	4	11	0.296071
1982	4	18	0.167969
1982	4	25	0.375145
1982	5	2	0.517997
1982	5	9	0.128895
1982	5	16	0.36305
1982	5	23	0.477282
1982	5	30	1.01152
1982	6	6	0.56917
1982	6	13	0.754535
1982	6	20	0.821256
1982	6	27	0.403574
1982	7	4	0.0662269
1982	7	11	0.494248
1982	7	18	0.491457
1982	7	25	0.580323
1982	8	1	0.283341
1982	8	8	-0.11391
1982	8	15	0.194616
1982	8	22	0.493699
1982	8	29	0.545046
1982	9	5	0.684671
1982	9	12	0.314892
1982	9	19	0.462469
1982	9	26	0.31358
1982	10	3	0.414364
1982	10	10	0.44306
1982	10	17	0.991939
1982	10	24	1.06426
1982	10	31	0.914692
1982	11	7	0.906386
1982	11	14	0.95102
1982	11	21	0.424018
1982	11	28	0.265489
1982	12	5	0.401217
1982	12	12	0.170957
1982	12	19	0.144869
1982	12	26	-0.254621
1983	1	2	-0.390964
1983	1	9	-0.228699
1983	1	16	-0.575085
1983	1	23	-0.0292864
1983	1	30	-0.031004
1983	2	6	-0.292515
1983	2	13	-0.663652
1983	2	20	-0.456465
1983	2	27	-0.667755
1983	3	6	-0.282354
1983	3	13	-0.605481
1983	3	20	-0.958807
1983	3	27	-0.885302
1983	4	3	-0.82982
1983	4	10	-0.607657
1983	4	17	-0.708268
1983	4	24	-0.90759
1983	5	1	-0.217699
1983	5	8	-0.432368
1983	5	15	-0.154443
1983	5	22	-0.0486777
1983	5	29	0.127587
1983	6	5	0.298766
1983	6	12	0.471191
1983	6	19	0.39607
1983	6	26	0.491492
1983	7	3	0.881346
1983	7	10	0.844616
1983	7	17	0.210718
1983	7	24	0.27995
1983	7	31	0.513894
1983	8	7	0.420805
1983	8	14	0.549551
1983	8	21	0.579744
1983	8	28	0.251734
1983	9	4	0.186681
1983	9	11	0.0878546
1983	9	18	0.350457
1983	9	25	0.133908
1983	10	2	0.389366
1983	10	9	0.161685
1983	10	16	0.1047
1983	10	23	-0.0875152
1983	10	30	0.0225977
1983	11	6	-0.226434
